"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Corrupt one or more synthetic fields, POST→GET, detect the bad fields, then
fail the type check (intentional failure — proves the assert path works).
","15","test_corrupted_fields_fail[three-fields]","tests","Fri Aug 07 19:43:10 UTC 2026","failed","Fri Aug 07 19:43:10 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[appdome_fusion_fused_app_token]","tests","Fri Aug 07 19:42:51 UTC 2026","passed","Fri Aug 07 19:42:51 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","6","test_negatives[value_got_empty-e7]","tests","Fri Aug 07 19:42:46 UTC 2026","passed","Fri Aug 07 19:42:46 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","10","test_negatives[new_keys-e9]","tests","Fri Aug 07 19:42:45 UTC 2026","passed","Fri Aug 07 19:42:45 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","5","test_negatives[value_got_empty-e5]","tests","Fri Aug 07 19:42:46 UTC 2026","passed","Fri Aug 07 19:42:46 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","15","test_negatives[missing_keys-e2]","tests","Fri Aug 07 19:42:45 UTC 2026","passed","Fri Aug 07 19:42:45 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","12","test_type_ok[reasoncode]","tests","Fri Aug 07 19:42:58 UTC 2026","passed","Fri Aug 07 19:42:58 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[reasondata]","tests","Fri Aug 07 19:42:59 UTC 2026","passed","Fri Aug 07 19:42:59 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[immutabledeviceid]","tests","Fri Aug 07 19:42:54 UTC 2026","passed","Fri Aug 07 19:42:54 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","10","test_type_ok[appdome_fusion_app_token]","tests","Fri Aug 07 19:42:51 UTC 2026","passed","Fri Aug 07 19:42:51 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","13","test_type_ok[externalid]","tests","Fri Aug 07 19:43:08 UTC 2026","passed","Fri Aug 07 19:43:08 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","12","test_type_ok[carriername]","tests","Fri Aug 07 19:43:02 UTC 2026","passed","Fri Aug 07 19:43:02 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[quitaftermessage]","tests","Fri Aug 07 19:43:00 UTC 2026","passed","Fri Aug 07 19:43:00 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[kernelinfo]","tests","Fri Aug 07 19:42:56 UTC 2026","passed","Fri Aug 07 19:42:56 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[appname]","tests","Fri Aug 07 19:42:53 UTC 2026","passed","Fri Aug 07 19:42:53 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[threatcode]","tests","Fri Aug 07 19:43:01 UTC 2026","passed","Fri Aug 07 19:43:01 UTC 2026","","test_data_types","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","12","test_type_bad[e2]","tests","Fri Aug 07 19:43:09 UTC 2026","passed","Fri Aug 07 19:43:09 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","9","test_negatives[new_keys-e2]","tests","Fri Aug 07 19:42:45 UTC 2026","passed","Fri Aug 07 19:42:45 UTC 2026","","test_catalog","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","14","test_type_bad[e10]","tests","Fri Aug 07 19:43:09 UTC 2026","passed","Fri Aug 07 19:43:09 UTC 2026","","test_data_types","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","13","test_type_bad[e6]","tests","Fri Aug 07 19:43:09 UTC 2026","passed","Fri Aug 07 19:43:09 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","6","test_negatives[value_got_empty-e10]","tests","Fri Aug 07 19:42:46 UTC 2026","passed","Fri Aug 07 19:42:46 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","16","test_negatives[missing_keys-e3]","tests","Fri Aug 07 19:42:45 UTC 2026","passed","Fri Aug 07 19:42:45 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","5","test_negatives[value_got_empty-e1]","tests","Fri Aug 07 19:42:46 UTC 2026","passed","Fri Aug 07 19:42:46 UTC 2026","","test_catalog","",""
