"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Event Validation","0","Data types","1","0","test_type_ok[unauthorized_ai_assistant]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[missing_keys-e7]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[new_keys-e8]","0"
"0","Event Validation","0","Data types","1","0","test_type_bad[e1]","0"
"0","Event Validation","0","Generated catalog","1","0","test_replay","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[deviceplatform]","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[carriername]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[empty_got_null-e2]","0"
"0","Event Validation","0","Generated catalog","1","0","test_boundary[time=-1]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[missing_keys-e9]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[empty_got_null-e8]","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[distinct_id]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[new_keys-e9]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[empty_got_null-e1]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[new_keys-e6]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[value_got_empty-e5]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[new_keys-e7]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[value_got_empty-e10]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[empty_got_null-e10]","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[quitaftermessage]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[new_keys-e1]","0"
"0","Event Validation","0","Generated catalog","1","0","test_boundary[Appdome fusion app token (len=30)]","0"
"0","Event Validation","0","Data types","1","0","test_type_bad[e6]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[empty_got_null-e4]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[new_keys-e2]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[missing_keys-e6]","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[appdome_fusion_fused_app_token]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[value_got_empty-e7]","0"
"0","Event Validation","0","Data types","1","0","test_type_ok[threatcode]","0"
"0","Event Validation","0","Generated catalog","1","0","test_negatives[value_got_empty-e9]","0"
