"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
First POST fails (500, server could not accept); retry with the valid event succeeds
(200) and GET returns that event.
","17","test_retry","tests","Mon Sep 07 21:49:32 UTC 2026","passed","Mon Sep 07 21:49:32 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","6","test_negatives[value_got_empty-e9]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Sends each positive catalog event, GETs it back (round-trip), then runs the
same nested rules as negatives and expects no findings.
","11","test_positives","tests","Mon Sep 07 21:49:29 UTC 2026","passed","Mon Sep 07 21:49:29 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","12","test_type_ok[dispatchappnotification]","tests","Mon Sep 07 21:49:51 UTC 2026","passed","Mon Sep 07 21:49:51 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","5","test_negatives[value_got_empty-e1]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","13","test_type_bad[e5]","tests","Mon Sep 07 21:49:54 UTC 2026","passed","Mon Sep 07 21:49:54 UTC 2026","","test_data_types","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","35","test_type_bad[e1]","tests","Mon Sep 07 21:49:54 UTC 2026","passed","Mon Sep 07 21:49:54 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","9","test_negatives[new_keys-e3]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Corrupt one or more synthetic fields, POST→GET, detect the bad fields, then
fail the type check (intentional failure — proves the assert path works).
","13","test_corrupted_fields_fail[one-field]","tests","Mon Sep 07 21:49:54 UTC 2026","failed","Mon Sep 07 21:49:54 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","6","test_negatives[value_got_empty-e4]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","10","test_negatives[new_keys-e9]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","10","test_negatives[new_keys-e10]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","16","test_negatives[missing_keys-e8]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","10","test_negatives[new_keys-e8]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","10","test_type_ok[devicemanufacturer]","tests","Mon Sep 07 21:49:40 UTC 2026","passed","Mon Sep 07 21:49:40 UTC 2026","","test_data_types","",""
"
One boundary case per pytest run (named by the key we changed).
Negative edges (time=-1, short token) get the dashboard (N) tag.
","14","test_boundary[Appdome fusion app token (len=30)]","tests","Mon Sep 07 21:49:32 UTC 2026","passed","Mon Sep 07 21:49:32 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[deviceplatform]","tests","Mon Sep 07 21:49:40 UTC 2026","passed","Mon Sep 07 21:49:40 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","5","test_negatives[value_got_empty-e8]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","12","test_type_ok[externalid]","tests","Mon Sep 07 21:49:53 UTC 2026","passed","Mon Sep 07 21:49:53 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[appdome_fusion_fused_app_token]","tests","Mon Sep 07 21:49:36 UTC 2026","passed","Mon Sep 07 21:49:36 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","9","test_negatives[new_keys-e4]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","5","test_negatives[value_got_empty-e3]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","10","test_type_ok[uuid]","tests","Mon Sep 07 21:49:38 UTC 2026","passed","Mon Sep 07 21:49:38 UTC 2026","","test_data_types","",""
"
Sends replay deliveries under one case_id, then asserts GET returns the
same number of events we POSTed (2→2, 1→1) with matching payloads.
","16","test_replay","tests","Mon Sep 07 21:49:33 UTC 2026","passed","Mon Sep 07 21:49:33 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[quitaftermessage]","tests","Mon Sep 07 21:49:45 UTC 2026","passed","Mon Sep 07 21:49:45 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","12","test_type_ok[message]","tests","Mon Sep 07 21:49:52 UTC 2026","passed","Mon Sep 07 21:49:52 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","18","test_negatives[missing_keys-e7]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","12","test_type_ok[immutabledeviceiddetections]","tests","Mon Sep 07 21:49:52 UTC 2026","passed","Mon Sep 07 21:49:52 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[immutabledeviceid]","tests","Mon Sep 07 21:49:39 UTC 2026","passed","Mon Sep 07 21:49:39 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","10","test_negatives[empty_got_null-e1]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","351","test_type_ok[appname]","tests","Mon Sep 07 21:49:37 UTC 2026","passed","Mon Sep 07 21:49:38 UTC 2026","","test_data_types","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","14","test_type_bad[e8]","tests","Mon Sep 07 21:49:54 UTC 2026","passed","Mon Sep 07 21:49:54 UTC 2026","","test_data_types","",""
"
One boundary case per pytest run (named by the key we changed).
Negative edges (time=-1, short token) get the dashboard (N) tag.
","13","test_boundary[time=0]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","10","test_type_ok[os_version]","tests","Mon Sep 07 21:49:41 UTC 2026","passed","Mon Sep 07 21:49:41 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","10","test_type_ok[reasoncode]","tests","Mon Sep 07 21:49:43 UTC 2026","passed","Mon Sep 07 21:49:43 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","10","test_type_ok[kernelinfo]","tests","Mon Sep 07 21:49:41 UTC 2026","passed","Mon Sep 07 21:49:41 UTC 2026","","test_data_types","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","13","test_type_bad[e2]","tests","Mon Sep 07 21:49:54 UTC 2026","passed","Mon Sep 07 21:49:54 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[host]","tests","Mon Sep 07 21:49:48 UTC 2026","passed","Mon Sep 07 21:49:48 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[reasondata]","tests","Mon Sep 07 21:49:44 UTC 2026","passed","Mon Sep 07 21:49:44 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","6","test_negatives[value_got_empty-e7]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","12","test_type_ok[showthemessage]","tests","Mon Sep 07 21:49:50 UTC 2026","passed","Mon Sep 07 21:49:50 UTC 2026","","test_data_types","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","13","test_type_bad[e4]","tests","Mon Sep 07 21:49:54 UTC 2026","passed","Mon Sep 07 21:49:54 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[malware]","tests","Mon Sep 07 21:49:44 UTC 2026","passed","Mon Sep 07 21:49:44 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","10","test_type_ok[app_version]","tests","Mon Sep 07 21:49:35 UTC 2026","passed","Mon Sep 07 21:49:35 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[launch_id]","tests","Mon Sep 07 21:49:46 UTC 2026","passed","Mon Sep 07 21:49:46 UTC 2026","","test_data_types","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","16","test_negatives[missing_keys-e10]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","9","test_negatives[new_keys-e1]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
Each rule has its own events (new_keys-e1, missing_keys-e1, …).
POST→GET equals sent, then asserts the named rule produces findings
(opposite of positives), and logs every matching key.
","17","test_negatives[missing_keys-e9]","tests","Mon Sep 07 21:49:30 UTC 2026","passed","Mon Sep 07 21:49:30 UTC 2026","","test_catalog","",""
"
One test per validation event (e1 … e10). POST→GET the row as-is, then
list every EventsSchema type mismatch once.
","14","test_type_bad[e10]","tests","Mon Sep 07 21:49:54 UTC 2026","passed","Mon Sep 07 21:49:54 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","84","test_type_ok[application]","tests","Mon Sep 07 21:49:37 UTC 2026","passed","Mon Sep 07 21:49:37 UTC 2026","","test_data_types","",""
"
POSTs the synthetic event, GETs it back and checks the receiver stored the
same payload, then checks one field against EventsSchema (must fit).
","11","test_type_ok[enforce_feature]","tests","Mon Sep 07 21:49:50 UTC 2026","passed","Mon Sep 07 21:49:50 UTC 2026","","test_data_types","",""
